,colors,description,name,price
19,Cinderfella; Smutty Green; Gilt By Association; Young Punk; Blue Flame,"Nourishing, Buildable, Lightweight",Mineralize Eye Shadow,$22.00
20,Joy & Laughter; Love Connection; Spiced Metal; Dual Rays; Ever Amethyst,"Coordinated, Buildable, Lightweight",Mineralize Eye Shadow (Duo),$22.00
21,**No Colors Found**,"Buildable Coverage, Tacky Texture, Glossy Finish",M·A·C Studio Eye Gloss,$22.00
22,Fog & Mist; Golden Hours; Pink Sensibilities; Great Beyond; In the Meadow,"Coordinated, Buildable, Lightweight",Mineralize Eye Shadow (Quad),$22.00
23,A Glimmer of Gold; Pure Bred; Posh Pedigree; A Party of Pastels; A Medley of Mauves; A Waft of Grey; A Harvest of Greens; A Sprinkle of Blues,"Coordinated, Buildable, Lightweight",Mineralize Eye Shadow x4,$46.00
24,Pearl; Luna; Nude; Hush; Shell; Bronze; Tint; Dusk; MidTone Sepia; Root,"Cream Formula, Buildable Coverage, Multi-Use",Cream Colour Base,$22.00
25,Green Clean; Permanent Press; Warm Wash,"High Shine, Powder Hybrid, Three Colours In One",Veluxe Pearlfusion Shadow Trio / Wash & Dry,$27.50
26,**No Colors Found**,"4 Neutral Colours, Coordinated, Buildable",Morning Light: Eye Shadow x 4,$70.00
27,**No Colors Found**,"4 Blue Colours, Coordinated, Buildable",Night Sky: Eye Shadow x 4,$70.00
28,**No Colors Found**,"Eye Palette, 6 Shades, Mauve",Enchanted Eve Eyes / Mauve,$39.50
29,**No Colors Found**,"Eye Palette, 6 Shades, Warm Nude",Enchanted Eve Eyes / Warm,$39.50
30,**No Colors Found**,"Eye Palette, 6 Shades, Navy",Enchanted Eve Eyes / Navy,$39.50
31,**No Colors Found**,"Coordinated Kit, For Eyes, Black",Enchanted Eve Eye Bag / Smoky,$42.50
32,**No Colors Found**,"Coordinated Kit, For Eyes, Plum",Enchanted Eve Eye Bag / Plum,$42.50
33,**No Colors Found**,"Coordinated Kit, For Eyes, Brown",Enchanted Eve Eye Bag / Neutral,$42.50
34,**No Colors Found**,"Coordinated Neutrals, Professional, Portable",M·A·CNIFICENT ME! Eye Shadow x 9,$40.00
35,**No Colors Found**,"All-In-One Kit, For Eyes, Black Shades",Look In A Box Eye Kit/Classic Black ,$36.50
36,**No Colors Found**,"6 Talked-About Shades, Cream Formula, Buildable Coverage",M·A·C Trend Forecast Spring 16/Eye,$40.00
37,**No Colors Found**,"Coordinated Purples, Professional, Portable",Eye Shadow x 9: Purple Times Nine,$40.00
38,**No Colors Found**,"Coordinated Navies, Professional, Portable",Eye Shadow x 9: Navy Times Nine,$40.00
39,**No Colors Found**,"Coordinated Ambers, Professional, Portable",Eye Shadow x 9: Amber Times Nine,$40.00
40,**No Colors Found**,"Coordinated Burgundies, Professional, Portable",Eye Shadow x 9: Burgundy Times Nine,$40.00
41,**No Colors Found**,"15 Warm-Toned Shades, Multiple Looks, Versatile",Eye Shadow x15: Warm Neutral,$85.00
42,**No Colors Found**,"15 Cool-Toned Shades, Multiple Looks, Versatile",Eye Shadow x15: Cool Neutral,$85.00
43,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Peachluxe,$40.00
44,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Pinkluxe,$40.00
45,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Brownluxe,$40.00
46,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Copperluxe,$40.00
47,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Plumluxe,$40.00
48,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Smokeluxe,$40.00
49,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Greenluxe,$40.00
50,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Amberluxe,$40.00
51,**No Colors Found**,"Nordstrom-Exclusive, Multiple Looks, Versatile",Eye Shadow X 15: Nordstrom's Finest,$85.00
52,Light Boost; Radiant Rose; Bright Forecast; Peach Lustre,"Illuminating, Sheer Coverage, Long-Wearing",Prep + Prime Highlighter,$26.00
53,**No Colors Found**,"Long-Wearing, Crease-Proof, Fade-Proof",Prep + Prime 24-Hour Extend Eye Base,$22.00
54,**No Colors Found**,"Priming, Conditioning, Boosts Mascara",Prep + Prime Lash,$17.00
55,**No Colors Found**,"Natural Length, Dense, Slightly Wispy",1 Lash,$17.00
56,**No Colors Found**,"Long Length, Wispy, Dramatic",2 Lash,$17.00
57,**No Colors Found**,"Adds Length, Full, Natural-Looking",3 Lash,$17.00
58,**No Colors Found**,"Natural Length, Wispy, Natural-Looking",4 Lash,$17.00
59,**No Colors Found**,"Dramatic Length, Lush, Spikey Looking",6 Lash,$17.00
60,**No Colors Found**,"Natural Length, Glamorous, Natural-Looking",7 Lash,$17.00
61,**No Colors Found**,"Dramatic Length, Dense, Spikey Looking",8 Lash,$17.00
62,**No Colors Found**,"Dramatic Length, Ultimate Fullness, Lush",12 Lash,$17.00
63,**No Colors Found**,"Half Lash, Dense, Winged-Looking",20 Lash,$17.00
64,**No Colors Found**,"Adds Length, Full, Builds Volume",21 Lash,$17.00
65,**No Colors Found**,"Individual Lashes, Three Lengths, Customizable",30 Lash,$17.00
66,**No Colors Found**,"Natural Length, Adds Fullness, Wispy",31 Lash,$17.00
67,**No Colors Found**,"Natural Length, Adds Fullness, Natural-Looking",32 Lash,$17.00
68,**No Colors Found**,"Natural Length, Mod-Looking, Flirtatious",33 Lash,$17.00
69,**No Colors Found**,"Dramatic Length, Wispy, Winged-Looking",34 Lash,$17.00
70,**No Colors Found**,"Dramatic Length, Full, Eye-Opening",35 Lash,$17.00
71,**No Colors Found**,"Natural Length, Full, Winged-Looking",36 Lash,$17.00
72,**No Colors Found**,"Natural Length, Wispy, Flirtatious",43 Lash,$17.00
73,**No Colors Found**,"Dramatic Length, Full, Winged-Looking",44 Lash,$17.00
74,**No Colors Found**,"Dramatic Length, Full, Wispy",48 Lash,$17.00
75,**No Colors Found**,"Latex Formula, Dries Clear, Long-Wearing",Duo Adhesive,$10.00
76,Coin Operated; Practice Makes Perfect; Sudsy; Colour Matters,"Mechanical-Style, 4 Shades, Safe For Waterline",Technakohl Liner / Wash & Dry,$17.50
77,**No Colors Found**,"Liquid Formula, Long-Wearing, Precise",Liquid Eye Liner / Brooke Candy,$21.00
78,Palm Tree; Darkness of Calm; Blue Fountain,"Gel Formula, Long-Wearing, Precise",Fluidline / M·A·C Guo Pei,$17.50
79,**No Colors Found**,"Click Pen, Gel Formula, Long-Wearing",Rebeleyes Gel Liner,$22.00
80,Black Swan; Petrol Blue,"Rich Colour, 2 Shades, Shimmery Finish",Pearlglide Intense Eye Liner / Magic of The Night,$17.50
81,Blitz & Glitz; Catch My Eye; Ivy; Great Dame; Silverstroke; Blue Peep; Brassy; Rich Ground; Dipdown; Deliciously Rich; Midnight Snack; Macroviolet; Our Secret; Lowlights; Copperthorn; Blacktrack; Waveline; Shade; Siahi,"Gel Formula, Long-Wearing, Precise",Fluidline,$16.50
82,Graphblack; Brownborder; Photogravure; Metalhead; Funfare; Bare Asset; Risqué; Snowed In; Broque; Superfly; Sterling Silver; Sourpuss; Twinked; Brass Band; Earthline; Purple Dash; Greyprint; $$$; Uniform; Alpha-Grey; Plank; Counterfeit; Image Conscious; Smoothblue; Bishop Blue; Jade Way; Vent; Cast Iron; Clay; Army Style; Steelpoint; Skyscape; Raisinette; Whirlpool; Cool Jazz; Take the Plunge; Auto-de-blu,"Rich Colour, Mechanical-Style, Safe For Waterline",Technakohl Liner,$16.50
83,Tarnish; I Get No Kick; Fascinating; Powersurge; Teddy; Prunella; Phone Number; Costa Riche; Minted; Blooz; Smolder,"Silky Formula, Rich Colour, Matte/Pearl Finish",Eye Kohl,$16.50
84,Grey Utility; Forever Green; Bountiful Brown; Bordeauxline; Duck; Prussian; Industry; Stubborn Brown; Buried Treasure; Engraved,"Waterproof, Long-Wearing, Multiple Finishes",Powerpoint Eye Pencil,$16.50
85,Strong Willed; Powerline; Mountain Air; Devotion; Rich Experience; Night Trail; Black Ice; Definedly Black,"Water-Resistant, 12-Hour Wear, Safe For Waterline",Pro Longwear Eye Liner,$20.00
86,**No Colors Found**,"Rich Colour, Long-Wearing, Precise",Liquidlast Liner,$21.00
87,Atomic Ore; Evil Twin; Earth Sign; Metropolis; Deep Blue Sea; Water Willow; Black Brilliance,"Gel-Like Formula, 12-Hour Wear, High Coverage",Fluidline Eye Pencil,$16.50
88,Coffee; Ebony,"Comfortable, Rich Colour, Precise",Eye Pencil,$16.50
89,**No Colors Found**,"Pen-Style Formula, 12-Hour Wear, Precise",Penultimate Eye Liner,$21.00
90,Industrial; Lord It Up; Designer Purple; Black Line; Undercurrent; Black Swan; Petrol Blue,"Rich Colour, 12-Hour Wear, Shimmery Finish",Pearlglide Intense Eye Liner,$16.50
91,**No Colors Found**,"Liquid Formula, Long-Wearing, Precise",Liquid Eye Liner,$21.00
92,**No Colors Found**,"Cream Formula, Opaque Coverage, Quick-Drying",Creme Liner,$16.50
93,Nocturnal; Pure Show; Defiantly Feline; On The Hunt,"Water-Resistant, 15-Hour Wear, Slick Finish",Superslick Liquid Eye Liner,$21.00
94,**No Colors Found**,"Intense Colour, Smoky Finish, Safe For Waterline",Kohl Power Eye Pencil,$16.50
95,Pure White; Hi-Def Cyan; Marine Ultra; Black Black,"Gel/Cream Formula, Rich Colour, Long-Wearing",Chromaline,$20.00
96,**No Colors Found**,"Creamy Formula, Rich Colour, Long-Wearing",M·A·C Studio Chromagraphic Pencil,$16.50
97,**No Colors Found**,"Gel Formula, Colourless, Dries Clear",Mixing Medium Eyeliner,$14.00
98,**No Colors Found**,"Dramatically Lifting, Lengthening, Volumizing",Upward Lash,$22.00
99,**No Colors Found**,"Double Effect, Defining, Volumizing, Super Black",Haute & Naughty Too Black Lash,$22.00
100,**No Colors Found**,"3D Volume, Dramatic, Super Black",In Extreme Dimension 3D Black Lash,$22.00
101,Haute & Naughty Brown; Haute & Naughty Black,"Double Effect, Defining, Volumizing",Haute & Naughty Lash,$22.00
102,**No Colors Found**,"Instant Volume, Dramatic, Waterproof",Zoom Waterfast Lash,$17.00
103,**No Colors Found**,"Dramatically Lengthening, Volumizing, Super Black",False Lashes Extreme Black,$22.00
104,**No Colors Found**,"Dramatically Lengthening, Volumizing, Curling",False Lashes,$22.00
105,**No Colors Found**,"Dramatically Lengthening, Volumizing, Waterproof",False Lashes Waterproof,$22.00
106,**No Colors Found**,"Defining, Waterproof, Super Black",Extended Play Gigablack Lash,$17.00
107,**No Colors Found**,"Sculpted, Defining, Super Black",Studio Sculpt Superblack Lash,$17.00
108,**No Colors Found**,"Long-Lasting Volume, Dramatic, Super Black",Opulash Optimum Black,$17.00
109,**No Colors Found**,"3D Volume, Curling, Dramatic",In Extreme Dimension Lash,$22.00
110,**No Colors Found**,"Instant Volume, Dramatic, Super Black",Zoom Fast Black Lash,$17.00
111,**No Colors Found**,"Instant Volume, Lengthening, Dramatic",Zoom Lash,$17.00
112,**No Colors Found**,"Defining, Waterproof, Washable",Extended Play Lash,$17.00
113,**No Colors Found**,"Double Effect, Defining, Waterproof",Haute & Naughty Waterproof Lash,$22.00
114,**No Colors Found**,"Sculpted, Defining, Lengthening",Studio Sculpt Lash,$17.00
115,**No Colors Found**,"Dramatically Lengthening, Volumizing, Curling",False Lashes / Sized to Go,$10.00
116,**No Colors Found**,"Dramatically Lengthening, Volumizing, Super Black",False Lashes Extreme Black / Sized to Go,$10.00
117,**No Colors Found**,"Nourishing, Volumizing, Curling",Mineralize Multi-Effect Lash,$22.00
118,**No Colors Found**,"Instant Volume, Lengthening, Dramatic",Zoom Lash / Sized to Go,$10.00
119,**No Colors Found**,"Instant Volume, Dramatic, Super Black",Zoomfast Black Lash / Sized to Go,$10.00
120,**No Colors Found**,"Emollient Formula, Colourless, Conditioning",Mixing Medium Lash,$14.00
121,Radiant Yellow; Radiant Pink,"Hydrating, Illuminating, Controls Oil",Prep + Prime Natural Radiance,$41.00
122,**No Colors Found**,"Refreshing, Finishes Makeup, Yuzu Scent",Prep + Prime Fix+ Yuzu,$22.00
123,**No Colors Found**,"Refreshing, Finishes Makeup, Lavender Scent",Prep + Prime Fix+ Lavender,$22.00
124,**No Colors Found**,"Refreshing, Finishes Makeup, Cucumber Scent",Prep + Prime Fix+ Cucumber,$22.00
125,**No Colors Found**,"Refreshing, Finishes Makeup, Rose Scent",Prep + Prime Fix+ Rose,$22.00
126,Medium Plus; Dark Deep; Medium; Dark; Light,"Serum, Tinted Moisturizer, Brightening",Lightful C 2-In-1 Tint And Serum With Radiance Booster,$60.00
127,Adjust; Recharge; Neutralize; Illuminate,"Colour Corrects, Sets Makeup, Reduces Shine",Prep + Prime CC Colour Correcting Loose,$26.00
128,**No Colors Found**,"Long-Wearing, Crease-Proof, Fade-Proof",Prep + Prime 24-Hour Extend Eye Base,$22.00
129,**No Colors Found**,"Antioxidant-Rich, Non-Oily, SPF 50",Prep + Prime Face Protect Lotion SPF 50  ,$31.00
130,**No Colors Found**,"Hydrating, Refreshing, Finishes Makeup",Prep + Prime Fix+ / Sized to Go,$10.00
131,**No Colors Found**,"Calming, Promotes Healing, Prevents Blemishes",Prep + Prime Blemish Control Gel ,$22.00
132,**No Colors Found**,"Hydrating, Improves Radiance, Clarifying",Prep + Prime Essential Oils,$22.00
133,Illuminate; Recharge; Adjust; Neutralize,"Colour Corrects, Sets Makeup, Portable",Prep + Prime CC Colour Correcting Compact,$26.00
134,Adjust; Illuminate; Recharge; Neutralize,"Colour Corrects, Controls Oil, SPF 30",Prep + Prime CC Colour Correcting SPF 30,$31.00
135,Light; Amber; Golden; Refined Golden; Extra Light; Light Plus; Medium Plus; Medium; Dark; Medium Dark; Dark Plus; Dark Deep,"Evens Skin Tone, Controls Oil, SPF 35",Prep + Prime BB Beauty Balm SPF 35,$31.00
136,Medium; Dark; Dark Deep; Medium Dark; Light Plus; Light; Extra Light; Medium Plus; Dark Plus; Amber; Refined Golden; Golden,"Evens Skin Tone, Hydrating, SPF 30",Prep + Prime BB Beauty Balm Compact SPF 30,$31.00
137,**No Colors Found**,"Hydrating, Refreshing, Finishes Makeup",Prep + Prime Fix+,$22.00
138,**No Colors Found**,"Priming, Conditioning, Boosts Mascara",Prep + Prime Lash,$17.00
139,Bright Forecast; Radiant Rose; Light Boost; Peach Lustre,"Illuminating, Sheer Coverage, Long-Wearing",Prep + Prime Highlighter,$26.00
140,**No Colors Found**,"Hydrating, Prevents Feathering, Retexturizing",Prep + Prime Lip,$16.50
141,**No Colors Found**,"Lightweight, Perfects Skin, Improves Radiance",Prep + Prime Skin,$31.00
142,**No Colors Found**,"Retexturizing, Mattifying, Refining",Prep + Prime Skin Smoother,$31.00
143,**No Colors Found**,"Minimizes Pores, Mattifying, Controls Oil",Prep + Prime Skin Refined Zone,$22.00
144,**No Colors Found**,"Hydrating, Lightweight, Improves Radiance",Prep + Prime Moisture Infusion,$41.00
145,**No Colors Found**,"Sets Makeup, Reduces Shine, For All Skin Tones",Prep + Prime Transparent Finishing Powder,$26.00
146,**No Colors Found**,"Sets Makeup, Reduces Shine, Portable",Prep + Prime Transparent Finishing Powder / Pressed,$26.00
147,Medium; Dark; Dark Deep; Medium Dark; Light Plus; Light; Extra Light; Medium Plus; Dark Plus; Amber; Refined Golden; Golden,"Evens Skin Tone, Hydrating, SPF 30",Prep + Prime BB Beauty Balm Compact SPF 30,$31.00
148,Adjust; Illuminate; Recharge; Neutralize,"Colour Corrects, Controls Oil, SPF 30",Prep + Prime CC Colour Correcting SPF 30,$31.00
149,Illuminate; Recharge; Adjust; Neutralize,"Colour Corrects, Sets Makeup, Portable",Prep + Prime CC Colour Correcting Compact,$26.00
150,Adjust; Recharge; Neutralize; Illuminate,"Colour Corrects, Sets Makeup, Reduces Shine",Prep + Prime CC Colour Correcting Loose,$26.00
151,Medium Plus; Dark; Dark Deep; Medium; Extra Light; Light Plus; Medium Dark; Dark Plus; Light; Amber; Golden; Refined Golden,"Evens Skin Tone, Controls Oil, SPF 35",Prep + Prime BB Beauty Balm SPF 35,$31.00
152,**No Colors Found**,"Hydrating, Clarifying, Luminizing",Strobe Cream,$33.00
153,**No Colors Found**,"Hydrating, Clarifying, Luminizing",Strobe Cream / Sized to Go,$10.00
154,**No Colors Found**,"Brightening, De-Puffing, Primes Eyes",Lightful C Vibrancy Eye Cream,$35.00
155,Extra Light; Light; Light Plus; Medium; Medium Plus; Medium Deep; Dark; Dark Plus; Dark Deep,"Colour-Correcting, Brightening, SPF 30",Lightful C Tinted Cream SPF 30 with Radiance Booster,$35.00
156,Light; Medium; Medium Plus; Dark; Dark Deep,"Serum, Tinted Moisturizer, Brightening",Lightful C 2-In-1 Tint And Serum With Radiance Booster,$60.00
157,**No Colors Found**,"Hydrating, Brightening, Softens Skin",Lightful C Marine-Bright Formula Softening Lotion,$35.00
158,**No Colors Found**,"Hydrating, Energizing, Softens Skin",Mineralize Charged Water: Revitalizing Energy,$24.00
159,**No Colors Found**,"Hydrating, Nourishing, Conditioning",Lip Conditioner (Tube),$16.00
160,**No Colors Found**,"Hydrating, Blurs Lines, Visibly Shrinks Pores",Mineralize Timecheck Lotion ,$44.00
161,**No Colors Found**,"Hydrating, Brightening, Plumping",Lightful C Marine-Bright Formula Essence,$44.00
162,**No Colors Found**,"Hydrating, Brightening, SPF 30",Lightful C Marine-Bright Formula SPF 30 Moisturizer,$44.00
163,**No Colors Found**,"Hydrating, Brightening, Prevents Dark Spots",Lightful C Marine-Bright Formula Moisture Cream,$44.00
164,**No Colors Found**,"Firming, De-Puffing, Reduces Fine Lines",Mineralize Charged Water Moisture Eye Cream,$35.00
165,**No Colors Found**,"Hydrating, Gentle, Sensitive Skin-Safe",Mineralize Charged Water Face and Body Lotion,$33.00
166,**No Colors Found**,"Hydrating, Soothing, Softens Skin",Mineralize Charged Water Moisture Gel,$40.00
167,**No Colors Found**,"Hydrating, Improves Radiance, Clarifying",Prep + Prime Essential Oils,$22.00
168,**No Colors Found**,"Firming, De-Puffing, Reduces Dark Circles",Fast Response Eye Cream,$31.00
169,**No Colors Found**,"Hydrating, Firming, Nourishing",Studio Moisture Cream,$33.00
170,**No Colors Found**,"Hydrating, Firming, Nourishing",Studio Moisture Cream / Sized to Go,$10.00
171,**No Colors Found**,"Hydrating, Oil-Free, SPF 15",Studio Moisture Fix SPF 15,$33.00
172,**No Colors Found**,"Hydrating, Oil-Free, Controls Oil",Oil Control Lotion,$33.00
173,**No Colors Found**,"Hydrating, Oil-Free, Controls Oil",Oil Control Lotion / Sized to Go,$10.00
174,**No Colors Found**,"Hydrating, Soothing, Reduces Redness",Complete Comfort Creme,$33.00
175,Radiant Yellow; Radiant Pink,"Hydrating, Illuminating, Controls Oil",Prep + Prime Natural Radiance,$41.00
176,**No Colors Found**,"Refreshing, Finishes Makeup, Yuzu Scent",Prep + Prime Fix+ Yuzu,$22.00
177,**No Colors Found**,"Refreshing, Finishes Makeup, Lavender Scent",Prep + Prime Fix+ Lavender,$22.00
178,**No Colors Found**,"Refreshing, Finishes Makeup, Cucumber Scent",Prep + Prime Fix+ Cucumber,$22.00
179,**No Colors Found**,"Refreshing, Finishes Makeup, Rose Scent",Prep + Prime Fix+ Rose,$22.00
180,Medium Plus; Dark Deep; Medium; Dark; Light,"Serum, Tinted Moisturizer, Brightening",Lightful C 2-In-1 Tint And Serum With Radiance Booster,$60.00
