,colors,description,name,price
236,**No Colors Found**,"For Powders, Short Rounded Shape, Smudges Shadow",214 Short Shader Brush,$25.00
237,**No Colors Found**,"For Powders, Paddle-Shaped, Shapes Eyes",215 Medium Shader Brush,$25.00
238,**No Colors Found**,"For Powders/Creams, Oval Shape, Blends Shadow",217 Blending Brush,$25.00
239,**No Colors Found**,"For Powders/Creams, Pencil-Shaped, Defines Eyes",219 Pencil Brush,$25.00
240,**No Colors Found**,"For Powders, Tapered Tip, Blends Shadow",221 Mini Tapered Blending Brush ,$25.00
241,**No Colors Found**,"For Powders, Dome-Shaped, Blends Shadow",224 Tapered Blending Brush,$32.00
242,**No Colors Found**,"For Powders, Paddle-Shaped, Blends Product",227 Large Fluff Brush,$32.00
243,**No Colors Found**,"For Powders, Round-Tipped, Defines Eyes",228 Mini Shader Brush,$20.00
244,**No Colors Found**,"For Powders/Creams, Paddle-Shaped, Shades Eyes",231 Small Shader Brush,$20.00
245,**No Colors Found**,"For Powders, Rounded Edge, Shades Eyes",239 Eye Shader Brush,$25.00
246,**No Colors Found**,"For Powders, Paddle-Shaped, Applies Shadow",233 Split Fibre Eye Shadow Brush,$25.00
247,**No Colors Found**,"For Powders/Emollients, Rounded Edge, Shades Eyes",242 Shader Brush,$25.00
248,**No Colors Found**,"For Powders/Emollients, Paddle-Shaped, Shades Eyes",252 Large Shader Brush,$32.00
249,**No Colors Found**,"For Powders, Oval-Shaped, Blends Shadow",234 Split Fibre Eye Blending Brush,$25.00
250,**No Colors Found**,"For All Formulas, Angled Tip, Shapes Eyes/Brows",263 Small Angle Brush,$20.00
251,**No Colors Found**,"For All Formulas, Angled Tip, Lines Eyes",266 Small Angle Brush,$20.00
252,**No Colors Found**,"For Powders, Angled Edge, Contours Eyes",275 Medium Angled Shading Brush,$25.00
253,**No Colors Found**,"For All Formulas, Dome-Shaped, Two Fibres",286 Duo Fibre Tapered Blending Brush,$32.00
254,**No Colors Found**,"For All Formulas, Paddle-Shaped, Two Fibres",287 Duo Fibre Eye Shadow Brush,$32.00
255,**No Colors Found**,"Cleansing, Disinfecting, Conditions Brushes",Brush Cleanser,$15.00
256,**No Colors Found**,"For All Formulas, Narrow Shape, Lines Eyes/Lips",Linear 1 Brush,$25.00
257,**No Colors Found**,"For Powders/Creams, Oval Shape, Shades Eyes",Oval 3 Brush,$32.00
258,**No Colors Found**,"For Powders, Rounded Dome Tip, Contours Face",109 Small Contour Brush,$35.00
259,**No Colors Found**,"For Powders/Creams, Paddle-Shaped, Shades Eyes",247 Flat Shader Brush,$25.00
260,**No Colors Found**,,288 SE Duo Fibre Eye Shader Brush,$32.00
261,**No Colors Found**,"For All Formulas, Rounded Tip, Two Fibres",139 SE Duo Fibre Tapered Face Brush,$42.00
262,**No Colors Found**,"For All Formulas, Slanted Tip, Two Fibres",161 SE Duo Fibre Face Glider Brush,$42.00
263,**No Colors Found**,"For Powders, Fluffy Round Shape, Shades Eyes",213 Fluff Brush / M·A·C Guo Pei ,$32.00
264,**No Colors Found**,"For Powders, Full Rounded Shape, Shades Cheeks",129 Powder/Blush Brush / M·A·C Guo Pei ,$46.00
265,**No Colors Found**,"For Foundation, Flat Slanted Tip, Short Bristles",196 Slanted Flat Top Foundation Brush,$35.00
266,**No Colors Found**,"For Powders, Double Chiseled Shape, Shades Face",135 Large Flat Powder Brush ,$42.00
